0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:04 +0530] "GET /Online-Exam-Management-Web-App/RegistrationAssets/CSS/adminstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:04 +0530] "GET /Online-Exam-Management-Web-App/RegistrationAssets/Script/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:08 +0530] "GET /Online-Exam-Management-Web-App/GetAllStudentServlet HTTP/1.1" 200 10258
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:08 +0530] "GET /Online-Exam-Management-Web-App/adminstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:27 +0530] "GET /Online-Exam-Management-Web-App/admindashboard.jsp HTTP/1.1" 200 8021
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:30 +0530] "GET /Online-Exam-Management-Web-App/GetAllExamServlet HTTP/1.1" 200 8389
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:30 +0530] "GET /Online-Exam-Management-Web-App/stylesR.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:33 +0530] "GET /Online-Exam-Management-Web-App/admindashboard.jsp HTTP/1.1" 200 8021
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:35 +0530] "GET /Online-Exam-Management-Web-App/getResultServlet HTTP/1.1" 200 6976
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:35 +0530] "GET /Online-Exam-Management-Web-App/resultstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:35 +0530] "GET /Online-Exam-Management-Web-App/scripts.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:39 +0530] "GET /Online-Exam-Management-Web-App/Update.jsp?resultId=3&studentId=2120&examName=OOP_MID&examId=EXAM-6151&score=88&grade=A HTTP/1.1" 200 4669
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:39 +0530] "GET /Online-Exam-Management-Web-App/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:50 +0530] "POST /Online-Exam-Management-Web-App/UpdateServlet HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:52 +0530] "GET /Online-Exam-Management-Web-App/getResultServlet HTTP/1.1" 200 6990
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:46:52 +0530] "GET /Online-Exam-Management-Web-App/scripts.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:47:08 +0530] "POST /Online-Exam-Management-Web-App/DeleteServlet HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:47:09 +0530] "GET /Online-Exam-Management-Web-App/getResultServlet HTTP/1.1" 200 6265
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:47:09 +0530] "GET /Online-Exam-Management-Web-App/scripts.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:47:11 +0530] "POST /Online-Exam-Management-Web-App/DeleteServlet HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:47:12 +0530] "GET /Online-Exam-Management-Web-App/getResultServlet HTTP/1.1" 200 5538
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:47:12 +0530] "GET /Online-Exam-Management-Web-App/scripts.js HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [18/Oct/2024:10:47:13 +0530] "POST /Online-Exam-Management-Web-App/DeleteServlet HTTP/1.1" 200 96
